[2026-07-04 23:03:38] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=196&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:38] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=195&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:39] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=195&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:39] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=196&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:39] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=197&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:40] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=198&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:40] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=199&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:41] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=198&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:41] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=197&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:41] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=196&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
